Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,Predicted IPO Status,success
IonQ,https://www.crunchbase.com/organization/ionq-inc,$10M to $50M,"Computer, Electronics, Information Services, Information Technology, Quantum Computing",852,IONQ develops general-purpose quantum information processors to solve the world’s complex problems.,Active,2015,For Profit,2021,https://twitter.com/IonQ_Inc,229,,,https://www.linkedin.com/company/ionq.co,,https://www.facebook.com/profile.php?id=100068180767172,,,info@ionq.com,,,"College Park, Maryland, United States",(301)298-7997,"IONQ develops general-purpose quantum information processors to solve the world’s complex problems. Its unique trapped ion approach combines unmatched physical performance, perfect qubit replication, optical networkability, and highly optimized algorithms to create a quantum computer that is as scalable as it is powerful and that will support a broad array of applications across a variety of industries. It was founded in 2015 and is based in College Park, Maryland.",,https://ionq.com,,"Consumer Electronics, Hardware, Information Technology, Science and Engineering",,Post-IPO Equity,376,IPO,2,2021,Post-IPO Equity,6,2000000000,350000000,350000000,432000000,432000000,Made Acquisitions,4,,,1,,,,286000000,1,,Growing,2024,2021,30000000,6,6,0,5.714285714,5.714285714,4.62962963,4.62962963,0.817142857,0.817142857,0.662037037,0.662037037,1148936.17,79787.23404,930851.0638,58333333.33,72000000,1,13297.87234,"Quantum Computing, Information Technology, Information Services",Technology & Software,1,yes
nCino,https://www.crunchbase.com/organization/ncino,$100M to $500M,"Banking, Finance, FinTech, SaaS, Software",1211,Ncino is a cloud-based bank operating solution for the financial services industry.,Active,2012,For Profit,2023,http://twitter.com/ncino,301,Exited Unicorn,1,http://www.linkedin.com/company/ncino-inc-,,https://www.facebook.com/nCino.Inc,,3,sales@ncino.com,,1,"Wilmington, North Carolina, United States",888-676-2466,"NCino offers a cloud-based bank operating system created by bankers for bankers. The system helps increase profitability, productivity gains, regulatory compliance, and operational transparency at all organizational levels as well as across all lines of business. Following a process structure similar to a bank’s loan accounting system, the bank operating system offers combined services through its business process management, loan lifecycle, business intelligence, and document management solutions.",,http://ncino.com,1,"Financial Services, Lending and Investments, Software",,Post-IPO Equity,3001,IPO,5,2022,Post-IPO Equity,10,,925574638,925574638,1138789038,1138789038,Made Acquisitions,3,,,4,,,,,1,2023,Growing,2023,2023,300000000,11,11,1,,,,,,,,,379469.856,99966.67777,308422.072,84143148.91,103526276.2,0.909090909,9087.879798,"Software, SaaS, Finance",Technology & Software,1,yes
Flux Systems,https://www.crunchbase.com/organization/flux-systems,$1M to $10M,"Big Data, Finance, Financial Services, FinTech, Software",42058,Flux Systems develops software platform that keeps a track of payment receipts by automatically linking them to payment cards.,Closed,2016,For Profit,,https://twitter.com/tryflux,4,,,https://www.linkedin.com/company/flux-systems-limited,,https://www.facebook.com/tryflux,,,hello@tryflux.com,,,"London, England, United Kingdom",,"Flux Systems develops software platform that keeps a track of payment receipts by automatically linking them to payment cards. The company was built with bank level security. They store and process data using third party servers located in secure data centers in Europe, that are protected by firewalls and have restricted access in compliance with applicable regulations. Flux was founded in 2016 and is based in London, England. Its major partners include Barclaycard, Costa, pod, EAT., Barclays, and Starling Bank.",,https://www.tryflux.com,,"Data and Analytics, Financial Services, Software",,Venture - Series Unknown,31,,3,2020,Venture - Series Unknown,4,,,,9120000,9120000,,4,,,,,,,,0,,,,,5500000,,,,,,,,,,,,294193.5484,177419.3548,,,,,,"Software, Financial Services, Finance",Technology & Software,0,no
LaterPay,https://www.crunchbase.com/organization/laterpay,$10M to $50M,"Content Creators, Digital Marketing, E-Commerce, Information Services, Internet, Payments, Publishing, Video",41143,"​LaterPay is the frictionless buying, tipping and selling platform for digital content.",Closed,2010,For Profit,,https://www.twitter.com/laterpay,25,,,https://www.linkedin.com/company/laterpay-gmbh,,https://www.facebook.com/laterpay,,,support@laterpay.net,,,"New York, New York, United States",,"LaterPay simplifies payments on the Internet. In addition to a classic immediate purchase option, LaterPay also allows you to buy digital content such as articles now and pay later. LaterPay allows you to purchase digital content for even the smallest amounts without having to pay directly. You simply confirm that you want to pay later and then you can access the content you want. You don't have to register or provide payment details beforehand. LaterPay remembers all the purchases you make on your device and bundles them into one invoice. No matter which website LaterPay uses, you simply shop - and all purchases appear together on one LaterPay invoice. As soon as your tab reaches $5.00, we ask you to register. Afterwards you choose your preferred payment method. There are no fees for you; you only pay for what you actually buy.",,https://www.laterpay.net/,,"Commerce and Shopping, Content and Publishing, Financial Services, Information Technology, Internet Services, Media and Entertainment, Payments, Sales and Marketing, Video",,Venture - Series Unknown,176,,1,2020,Venture - Series Unknown,4,,10000000,10000000,20058236,20058236,,,,,,,,,,0,,,,,30000000,,,,,,,,,,,,113967.25,170454.5455,56818.18182,,,,,"Digital Marketing, Content Creators, Video",Technology & Software,0,no
Anaplan,https://www.crunchbase.com/organization/anaplan,$100M to $500M,"Enterprise Software, Information Technology, InsurTech, Productivity Tools",493,Anaplan is a business planning software company that develops a cloud platform for decision-making with connected planning modeling.,Active,2006,For Profit,2018,http://twitter.com/anaplan,420,Exited Unicorn,,https://www.linkedin.com/company/anaplan,,http://www.facebook.com/anaplan,,,info@anaplan.com,,,"San Francisco, California, United States",+1 415 742 8199,"Anaplan is driving a new age of connected planning. Large and fast-growing organizations use Anaplan’s cloud platform in every business function to make better-informed plans and decisions and drive faster, more effective planning processes. Anaplan also provides support, training, and planning transformation advisory services. Anaplan is a privately held company based in San Francisco with 16 offices and over 150 expert partners worldwide.",,https://www.anaplan.com,,"Financial Services, Information Technology, Software",,Secondary Market,3001,M&A,5,2018,Series F,9,1400000000,,60000000,299900000,299900000,"Made Acquisitions, Was Acquired",6,Thoma Bravo,https://www.crunchbase.com/organization/thoma-bravo,5,Leveraged Buyout,10700000000,2022,263500000,1,2023,Growing,2021,2018,300000000,12,12,0,,23.33333333,4.668222741,4.668222741,,4.391666667,0.878626209,0.878626209,99933.35555,99966.67777,,,24991666.67,0.75,8330.556481,"Enterprise Software, Productivity Tools, InsurTech",Technology & Software,1,yes
Osaro,https://www.crunchbase.com/organization/osaro,Less than $1M,"Artificial Intelligence (AI), Machine Learning, Robotics, Software",2231,Osaro is an artificial intelligence company developing products based on proprietary deep reinforcement learning technology.,Closed,2015,For Profit,,https://twitter.com/OsaroAI,16,,,https://www.linkedin.com/company/osaro,Yes,https://www.facebook.com/OsaroAI/,,,info@osaro.com,,,"San Francisco, California, United States",,"Osaro creates machine intelligence software that combine state-of-the-art perception with powerful adaptive decision-making abilities to help computer and robotic systems act efficiently and intelligently. Like many advanced machine learning technologies, Osaro's software automatically extracts information from high-dimensional, time-varying data. Osaro goes beyond merely classifying data.  The technology interacts with the environment to learn, discover, and achieve a specific goal. By making machines more adaptive, intelligent, and efficient, Osaro frees up humans to focus time, energy, and capital on higher level tasks.",,http://www.osaro.com,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",,Series C,31,Late Stage Venture,2,2021,Series C,7,,30000000,30000000,96300000,96300000,,3,,,,,,,,0,,,2024,,500000,,,,,,,,,,,,3106451.613,16129.03226,967741.9355,,,,,"Artificial Intelligence (AI), Machine Learning, Software",Technology & Software,0,no
Planet 13 Holdings,https://www.crunchbase.com/organization/planet-13-holdings,$100M to $500M,"Cannabis, Retail, Wholesale",11633,Planet 13 is a cannabis dispensary superstore and entertainment complex providing interactive entertainment and cannabis products.,Active,2015,For Profit,2018,https://twitter.com/p13holdingsinc,23,,,https://www.linkedin.com/company/planet13holdings,,,,,,,,"Las Vegas, Nevada, United States",,"Planet 13 is a cannabis dispensary superstore and entertainment complex. It showcases the growing portfolio of branded products including vapes, edibles, pre-rolls, and concentrates. The company aims to operate dispensaries in tier-one markets and to sell their brands; Medizin, TRENDI, and Leaf & Vine, in both their branded stores and wholesale. It was headquartered in Las Vegas, Nevada in 2015.",,https://www.planet13holdings.com,,"Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care",,Post-IPO Equity,751,IPO,3,2024,Post-IPO Equity,8,,54417539,54417539,229291081,229291081,Made Acquisitions,,,,2,,,,,1,,Growing,,2018,300000000,3,3,-6,,,,,,,,,305314.3555,399467.3768,72460.10519,18139179.67,76430360.33,2.666666667,133155.7923,"Cannabis, Retail, Wholesale",Technology & Software,1,yes
Blackline Safety,https://www.crunchbase.com/organization/blackline-gps-corp,$50M to $100M,"Hardware, Information and Communications Technology (ICT), Infrastructure, Public Safety, SaaS, Software, Wireless",7473,Blackline Safety is a global leader in connected safety technology with a hardware-enabled software-as-a-service (HeSaaS) business model.,Active,2004,For Profit,2016,https://www.twitter.com/blacklinesafety,68,,,https://www.linkedin.com/company/blacklinesafety,,https://www.facebook.com/blacklinesafety/,,,info@blacklinesafety.com,,,"Calgary, Alberta, Canada",+1 403-451-0327,"Blackline Safety is a global connected safety leader that helps to ensure every worker gets their job done and returns home safely each day. Blackline provides wearable safety technology, personal and area gas monitoring, cloud-connected software and data analytics to meet demanding safety challenges and increase productivity of organizations with coverage in more than 100 countries. Blackline Safety wearables provide a lifeline to tens of thousands of people, having reported over 161 billion data-points and initiated over five million emergency responses. Armed with cellular and satellite connectivity, we ensure that help is never too far away.",,https://www.blacklinesafety.com,,"Government and Military, Hardware, Information Technology, Mobile, Other, Software",,Post-IPO Equity,751,IPO,2,2024,Post-IPO Equity,7,,14608296,14608296,127531633,152531633,Made Acquisitions,3,,,2,,,,,1,,Growing,2024,2016,75000000,12,12,-8,,,,,,,,,203104.7044,99866.84421,19451.79228,1217358,12710969.42,0.583333333,8322.237017,"Public Safety, Software, Hardware",Technology & Software,1,yes
Fusemachines,https://www.crunchbase.com/organization/fusemachines,$50M to $100M,"Artificial Intelligence (AI), Big Data, Machine Learning, Software",10599,"Fusemachines is an enterprise AI services and solutions provider that brings AI education, products, and jobs to underserved communities.",Active,2013,For Profit,2024,https://twitter.com/fusemachines,33,,,https://linkedin.com/fusemachines,,https://facebook.com/fusemachines,,,info@fusemachines.com,,,"New York, New York, United States",800-506-3873,"Fusemachines runs AI schools in underserved communities and connects the AI talent with job opportunities. It offers a blend of onsite and online AI education programs and provides AI talent and strategic consulting to its clients to help them develop AI solutions. The company's AI solutions and services provider, running AI schools in underserved communities and connecting talent with jobs. The company was founded in 2013 and is headquartered in New York.",,http://fusemachines.com/,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,Private Equity,376,IPO,1,2022,Private Equity,4,,1000000,1000000,8875000,8875000,Made Acquisitions,1,,,1,,,,,1,,Growing,2023,2024,75000000,11,11,2,,,,,,,,,23603.7234,199468.0851,2659.574468,90909.09091,806818.1818,0.363636364,18133.46228,"Artificial Intelligence (AI), Software, Machine Learning",Technology & Software,1,yes
Huya.com,https://www.crunchbase.com/organization/huya-com,$500M to $1B,"Broadcasting, Online Games, Video Games, Video Streaming",18279,Huya.com is a Chinese interactive broadcast platform.,Active,2016,For Profit,2018,,3,Exited Unicorn,4,https://www.linkedin.com/company/huyalimited,,,,,,,5,"Guangzhou, Guangdong, China",020-82120000,"Huya.com is China's interactive broadcast platform, enriched by the world's first communications service operators. The company's live products cover PC, Web, and mobile three-end, and have nearly 300 featured channels in 4 categories including online games, single-game hot games, mobile games, and entertainment variety, covering e-sports, music, sports, beauty, outdoor, A wide range of popular content such as reality shows, variety shows, entertainment, and food.",,http://www.huya.com/,4,"Content and Publishing, Gaming, Media and Entertainment, Video",,Post-IPO Equity,751,IPO,1,2020,Post-IPO Equity,4,2418000000,262200000,262200000,798800000,1125800000,Made Acquisitions,2,,,1,,,,180000000,1,2022,,,2018,750000000,2,2,-2,9.221967963,9.221967963,2.147806005,3.027040561,0.686498856,0.686498856,0.159886303,0.225338007,1499067.909,998668.4421,349134.4874,131100000,562900000,2,499334.221,"Video Streaming, Video Games, Online Games",Technology & Software,1,yes
Carbon Black,https://www.crunchbase.com/organization/bit9,$100M to $500M,"Cyber Security, Homeland Security, Physical Security, Security",6448,Carbon Black provides a cloud native endpoint and a workload protection platform that allows customers to prevent cyber attacks.,Active,2002,For Profit,2018,http://twitter.com/CarbonBlack_Inc,627,,,https://www.linkedin.com/company/carbon-black-inc,,https://www.facebook.com/carbonblackinc,,2,contact@carbonblack.com,,1,"Waltham, Massachusetts, United States",+1 (617) 393-7400,"Carbon Black (NASDAQ: CBLK) is a leading provider of next-generation endpoint security. Carbon Black serves more than 4,300 customers globally, including 35 of the Fortune 100. As a cybersecurity innovator, Carbon Black has pioneered multiple endpoint security categories, including application control, endpoint detection and response (EDR), and next-generation antivirus (NGAV). Leveraging its big data and analytics cloud platform – the Cb Predictive Security Cloud – Carbon Black solutions enable customers to defend against the most advanced cyber threats, including malware, ransomware, and non-malware attacks. Deployed via the cloud, on premise or as a managed service, customers use Carbon Black solutions to lock down critical systems, hunt threats, and replace legacy antivirus.",,http://www.carbonblack.com,1,"Administrative Services, Information Technology, Privacy and Security",,Secondary Market,3001,M&A,1,2017,Series F,11,1250000000,,14000000,189683533,191683533,"Made Acquisitions, Was Acquired",5,VMware,https://www.crunchbase.com/organization/vmware,4,Acquisition,2100000000,2019,152000000,1,,,,2018,300000000,16,16,1,,89.28571429,6.521165279,6.589923649,,10.85714286,0.792973698,0.801334716,63873.21993,99966.67777,,,11980220.81,0.6875,6247.917361,"Cyber Security, Security, Physical Security",Technology & Software,1,yes
Circus Group,https://www.crunchbase.com/organization/circuskitchens,,"Artificial Intelligence (AI), Manufacturing, Robotics",11031,Disrupting food-service operations with the use of AI robotics and proprietary software solutions.,Active,2021,For Profit,2023,,3,,,https://www.linkedin.com/company/circuskitchens/,,,,,contact@circus-group.com,,,"Hamburg, Hamburg, Germany",,"Disrupting food-service operations with the use of AI robotics and proprietary software solutions. Circus was established in 2021 in Hamburg, Germany.",,https://www.circus-group.com/,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",,Venture - Series Unknown,76,IPO,3,2023,Venture - Series Unknown,4,,9876521,9876521,28967988,28967988,Made Acquisitions,2,,,1,,,,,1,,Growing,,2023,,2,2,0,,,,,,,,,381157.7368,,129954.2237,4938260.5,14483994,2,,"Artificial Intelligence (AI), Manufacturing, Robotics",Technology & Software,1,yes
Glassbox,https://www.crunchbase.com/organization/glassboxdigital,$10M to $50M,"Analytics, Big Data, CRM, Information Technology, InsurTech",1289,"Glassbox is a digital experience analytics platform that captures, visualizes, and analyzes interactions across websites and mobile apps.",Active,2010,For Profit,2021,https://twitter.com/GlassboxDigital,48,,,https://www.linkedin.com/company/glassbox-solutions,,https://www.facebook.com/Glassbox-103555754681679,,,info@glassboxdigital.com,,,"Norwich, Norfolk, United Kingdom",+44 0 1603 618382,"Glassbox develops an analytics platform designed to automatically record, index, and analyze digital interactions. The company's platform captures user behavior and technical data to help businesses optimize conversion rates, improve customer satisfaction, and identify areas for improvement. Glassbox offers features like session replay, funnel analysis, and heatmaps, and boasts strong data privacy and security features.",,https://www.glassbox.com,,"Data and Analytics, Financial Services, Information Technology, Sales and Marketing, Software",,Secondary Market,751,M&A,3,2020,Series C,5,,,40000000,70500000,70500000,"Made Acquisitions, Was Acquired",3,Alicorn Venture Partners,https://www.crunchbase.com/organization/alicorn-ventures,1,Acquisition,150000000,2024,100000000,1,,Growing,2024,2021,30000000,11,11,1,,,,,,2.5,1.418439716,1.418439716,93874.83356,39946.73768,,,6409090.909,0.454545455,3631.521608,"Analytics, InsurTech, Information Technology",Technology & Software,1,yes
NowRx,https://www.crunchbase.com/organization/nowrx,$1M to $10M,"Delivery Service, Health Care, Pharmaceutical, Retail, Same Day Delivery",14325,NowRx is a pharmacy and last-mile logistics company that provides same-day and same-hour prescription medication delivery.,Closed,2015,For Profit,2022,https://twitter.com/nowrx,35,,,https://www.linkedin.com/company/nowrx/,,https://www.facebook.com/NowRx/,,,info@nowrx.com,,,"Mountain View, California, United States",(650) 499-3000,"NowRx is a technology-enabled pharmacy that uses proprietary pharmacy software, robotics, AI, and last-mile logistics to provide free same-day delivery of prescription medications. The company's pharmacy management system, QuickFill (v3.5), is one of the only pharmacy management software systems designed for same-day delivery that has been certified by the nation’s leading health information network, Surescripts Health Alliance Network. Surescripts connects NowRx’s QuickFill directly to more than 1.5 million physicians across the U.S. Powered by its DEA-certified micro-fulfillment pharmacies and hyper-efficient operations, as of July 2020 NowRx has delivered over 200,000 medications to 28,000+ customers.",,https://www.nowrx.com,,"Commerce and Shopping, Health Care, Transportation",,Equity Crowdfunding,76,M&A,2,2022,Equity Crowdfunding,13,,18600000,18600000,79238546,79238546,Was Acquired,1,Alto Pharmacy,https://www.crunchbase.com/organization/scriptdash,,Acquisition,,2022,,0,,,,,5500000,,7,,,,,,,,,,1042612.447,72368.42105,244736.8421,,,,,"Same Day Delivery, Delivery Service, Retail",Technology & Software,0,no
Mintigo,https://www.crunchbase.com/organization/mintigo,$1M to $10M,"Analytics, B2B, Big Data, CRM, Enterprise Software, Machine Learning, Marketing Automation, Predictive Analytics, SaaS",31576,Mintigo’s Predictive Marketing Platform for enterprise enables insight-driven customer engagement to win and retain customers.,Closed,2009,For Profit,2019,https://twitter.com/mintigo,70,,,https://www.linkedin.com/company/mintigo,,https://www.facebook.com/Mintigo,,,info@mintigo.com,,,"San Mateo, California, United States",(650)278-4180,"At Mintigo, they master data science to revolutionize the way people market and sell. Their Predictive Marketing Platform for enterprise enables insight-driven customer engagement to win and retain customers.  By combining the power of predictive analytics and big data, marketers and sales teams can discover ideal prospects, personalize content for lead nurturing, and provide insights that shorten the sales cycle. Marketing leaders at companies like Red Hat, Oracle, Getty Images, and Neustar rely on Mintigo to find buyers faster.  Learn more at www.mintigo.com and follow the latest in predictive marketing at www.mintigo.com/blog.",,https://www.mintigo.com,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Sales and Marketing, Software",,Series F,76,M&A,3,2019,Series F,6,,7000000,7000000,51000000,51000000,Was Acquired,4,Anaplan,https://www.crunchbase.com/organization/anaplan,,Acquisition,,2019,,0,,,,,5500000,,10,,,,,,,,,,671052.6316,72368.42105,92105.26316,,,,,"Predictive Analytics, Marketing Automation, Enterprise Software",Technology & Software,0,no
Canaan Creative,https://www.crunchbase.com/organization/canaan-creative,$100M to $500M,"Bitcoin, Electronics, Information Technology, Manufacturing, Semiconductor, Software",9325,Canaan Creative is a producer of Blockchain servers and solutions for repetition ASIC chips.,Active,2013,For Profit,2019,https://twitter.com/canaanio,79,Exited Unicorn,,https://www.linkedin.com/company/%E5%98%89%E6%A5%A0%E8%80%98%E6%99%BA/,,https://www.facebook.com/Canaansupercomputing/,,,enquiry@canaan.io,,,"Beijing, Beijing, China",,Canaan Creative produces Blockchain servers and solutions for repetition ASIC chips. Our products are sold globally.,,https://canaan.io,,"Blockchain and Cryptocurrency, Consumer Electronics, Financial Services, Hardware, Information Technology, Manufacturing, Payments, Science and Engineering, Software",,Post-IPO Equity,376,M&A,1,2023,Post-IPO Equity,3,1400000000,50000000,50000000,93450427,93450427,"Made Acquisitions, Was Acquired",,Shandong Luyitong Intelligent Electric,https://www.crunchbase.com/organization/shandong-luyitong-intelligent-electric,1,Acquisition,466000000,2016,90000000,1,,Growing,,2019,300000000,6,6,-4,28,28,14.98120495,14.98120495,1.8,1.8,0.963077461,0.963077461,248538.3697,797872.3404,132978.7234,8333333.333,15575071.17,0.5,132978.7234,"Software, Semiconductor, Manufacturing",Technology & Software,1,yes
Anaplan,https://www.crunchbase.com/organization/anaplan,$100M to $500M,"Enterprise Software, Information Technology, InsurTech, Productivity Tools",493,Anaplan is a business planning software company that develops a cloud platform for decision-making with connected planning modeling.,Active,2006,For Profit,2018,http://twitter.com/anaplan,420,Exited Unicorn,,https://www.linkedin.com/company/anaplan,,http://www.facebook.com/anaplan,,,info@anaplan.com,,,"San Francisco, California, United States",+1 415 742 8199,"Anaplan is driving a new age of connected planning. Large and fast-growing organizations use Anaplan’s cloud platform in every business function to make better-informed plans and decisions and drive faster, more effective planning processes. Anaplan also provides support, training, and planning transformation advisory services. Anaplan is a privately held company based in San Francisco with 16 offices and over 150 expert partners worldwide.",,https://www.anaplan.com,,"Financial Services, Information Technology, Software",,Secondary Market,3001,M&A,5,2018,Series F,9,1400000000,,60000000,299900000,299900000,"Made Acquisitions, Was Acquired",6,Thoma Bravo,https://www.crunchbase.com/organization/thoma-bravo,5,Leveraged Buyout,10700000000,2022,263500000,1,2023,Growing,2021,2018,300000000,12,12,0,,23.33333333,4.668222741,4.668222741,,4.391666667,0.878626209,0.878626209,99933.35555,99966.67777,,,24991666.67,0.75,8330.556481,"Enterprise Software, Productivity Tools, InsurTech",Technology & Software,1,yes
DocuSign,https://www.crunchbase.com/organization/docusign,$1B to $10B,"Business Process Automation (BPA), Cloud Management, Computer, E-Signature, Information Technology, SaaS, Software",297,"DocuSign helps small- and medium-sized businesses collect information, automate data workflows, and sign on various devices.",Active,2003,For Profit,2018,http://twitter.com/DocuSign,1821,"Exited Unicorn, Pledge 1%",1,http://www.linkedin.com/company/docusign,,http://www.facebook.com/DocuSign,,1,info@docusign.com,,6,"San Francisco, California, United States",866-219-4318,"DocuSign operates a cloud-based electronic signature platform that helps small- and medium-sized businesses, enterprises, and individuals collect information, automate data workflows, and sign on various devices. The company’s platform automates manual and paper-based processes that allow users to manage various aspects of documented business transactions, including identity management, authentication, digital signature, forms and data collection, collaboration, and workflow automation and storage. The company also provides training and support services. Its platform serves the sales, human resources, finance, information technology, operations, legal, marketing, facilities, support, product management, and procurement departments in the financial services, healthcare, technology, higher education, insurance, real estate, life sciences, and government sectors in the United States and internationally. DocuSign was incorporated in 2003 and is based in San Francisco, California with additional offices in London, Sydney, Sao Paulo, and Dublin.",2,http://www.docusign.com,6,"Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security, Software",2,Secondary Market,3001,IPO,1,2017,Series F,20,4498000000,,300000000,534199999,536199999,Made Acquisitions,12,,,9,,,,629000000,1,2024,Growing,2023,2018,5500000000,15,15,1,,14.99333333,8.388660963,8.420067406,,2.096666667,1.173069752,1.177461627,178673.7751,1832722.426,,,35746666.6,1.333333333,122181.4951,"Information Technology, Software, SaaS",Technology & Software,1,yes
EngageSmart,https://www.crunchbase.com/organization/engagesmart,$100M to $500M,"Information Services, Information Technology, Service Industry, Software",4595,EngageSmart is a provider of customer engagement software and integrated payments solutions.,Active,2009,For Profit,2021,https://twitter.com/engagesmartinc,70,,,https://www.linkedin.com/company/engagesmart,,https://www.facebook.com/EngageSmartInc,,,,,,"Braintree, Massachusetts, United States",(781) 848-3733,"EngageSmart offers vertically tailored customer engagement software as well as integrated payment solutions. It aims to simplify customer and client engagement so that its customers can focus their resources on initiatives that help their businesses and communities. EngageSmart provides single-tenant, multi-tenant, true Software-as-a-Service vertical solutions, such as SimplePractice, InvoiceCloud, HealthPay24, and DonorDrive, that are designed to simplify its customers' client engagement by driving digital adoption and self-service.",,https://www.engagesmart.com,,"Information Technology, Other, Software",,Post-IPO Equity,751,M&A,1,2023,Post-IPO Equity,3,4184000000,152000000,152000000,152000000,152000000,Was Acquired,,Vista Equity Partners,https://www.crunchbase.com/organization/vista-equity-partners,,Acquisition,4000000000,2023,378300000,1,,Growing,2024,2021,300000000,12,12,-2,27.52631579,27.52631579,27.52631579,27.52631579,2.488815789,2.488815789,2.488815789,2.488815789,202396.8043,399467.3768,202396.8043,12666666.67,12666666.67,0.25,33288.94807,"Software, Service Industry, Information Technology",Technology & Software,1,yes
Change Healthcare,https://www.crunchbase.com/organization/change-healthcare,$1B to $10B,"Analytics, Health Care, Information Technology, Medical, Payments",21634,Change Healthcare is a healthcare technology company that focuses on revenue and payment cycle management services.,Active,2007,For Profit,2019,http://twitter.com/change_hc,269,,,http://www.linkedin.com/company/change-healthcare,,http://www.facebook.com/changehealthcare,,1,info@changehealthcare.com,,1,"Nashville, Tennessee, United States",+1 866 817 3813,"Change Healthcare is an independent healthcare technology providing data and analytics-driven solutions to improve clinical and patient engagement outcomes in the U.S. healthcare system. Through the power of its platform, the company provides data and analytics-driven solutions to improve clinical, financial, administrative, and patient engagement outcomes in the healthcare system.",,http://www.changehealthcare.com,1,"Data and Analytics, Financial Services, Health Care, Information Technology, Payments",,Venture - Series Unknown,10001,M&A,2,2014,Venture - Series Unknown,6,1538313348,5000000,5000000,48000000,48000000,"Made Acquisitions, Was Acquired",2,Optum,https://www.crunchbase.com/organization/optum,6,Acquisition,13000000000,2021,557142846,1,,,,2019,5500000000,12,12,5,307.6626696,307.6626696,32.04819475,32.04819475,111.4285692,111.4285692,11.60714263,11.60714263,4799.520048,549945.0055,499.950005,416666.6667,4000000,0.5,45828.75046,"Information Technology, Payments, Medical",Technology & Software,1,yes
Tegile Systems,https://www.crunchbase.com/organization/tegile-systems,$10M to $50M,"Data Storage, Flash Storage, Hardware, Virtualization",26047,Tegile Systems provides hybrid and all flash storage arrays for a wide range of enterprise applications.,Closed,2010,For Profit,2017,http://twitter.com/tegile,45,,,http://www.linkedin.com/company/tegile-systems,,,,,sales@tegile.com,,,"Newark, California, United States",(855) 583-4453,"Tegile Systems provides hybrid and all-flash storage arrays for a wide range of enterprise applications. The company flash storage arrays, with patented IntelliFlash architecture, deliver high I/O and low latency for business applications such as databases, server virtualization, and virtual desktops. Its customers achieve business acceleration and unmatched storage capacity reduction. Tegile Systems' mission is to accelerate the transformation of enterprise IT by changing the performance and economics of enterprise storage.",,https://tintri.com,,"Hardware, Information Technology, Software",,Series E,376,M&A,2,2017,Series E,6,,33000000,33000000,174515542,174515542,Was Acquired,2,Western Digital,https://www.crunchbase.com/organization/western-digital,,Acquisition,,2017,,0,,,,,30000000,,7,,,,,,,,,,464137.0798,79787.23404,87765.95745,,,,,"Flash Storage, Data Storage, Virtualization",Technology & Software,0,no
