Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Money Raised at IPO (in USD),IPO Status,Growth Category,IPO Date,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Total funding amount / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),ind_update,narrowed_industry,success
Boku,https://www.crunchbase.com/organization/boku,$50M to $100M,"E-Commerce, Financial Services, Internet, Mobile Payments, Payments","6,824",Boku is a global mobile payments network providing mobile-enhanced payments in e-commerce and at physical point-of-sale.,Active,2008,For Profit,2017,https://twitter.com/bokupaybymobile,74,,,https://www.linkedin.com/company/boku-inc/,,https://www.facebook.com/bokucom-131960520871645/,,1,info@boku.com,,"San Francisco, California, United States",,"Boku Identity is the industry's end-to-end identity verification solution. By combining identity verification and authentication capabilities with the Boku Platform, which aggregates and harmonizes mobile network operator systems across 58 countries worldwide, Boku Identity helps global enterprises across multiple industries effectively reduce identity fraud, drive conversions, ensure compliance, and deliver a superior customer experience. Boku Identity’s privacy-by-design and tokenized identity architecture enables these businesses to onboard and service their customers worldwide while maintaining security and preserving user privacy.",,https://www.boku.com,"Commerce and Shopping, Financial Services, Internet Services, Mobile, Payments, Software",,Post-IPO Equity,376,M&A,3,2019,Post-IPO Equity,8,166729350,,,86750000,86750000,"Made Acquisitions, Was Acquired",4,DaoPay,https://www.crunchbase.com/organization/daopay-2,7,Acquisition,59593492,Public,Growing,2017,187068834.1,75000000,9,9,-2,,,1.921952161,1.921952161,,,0.68695668,230718.0851,,,9638888.889,0.888888889,"Mobile Payments, Payments, E-Commerce",Financial Services & Fintech,Yes
Horizon Technology Finance,https://www.crunchbase.com/organization/horizon-technology-finance,,"Financial Services, FinTech, Management Consulting, Venture Capital","7,016",Horizon Technology Finance is a specialty finance company offering secured loans to venture-backed companies.,Active,2003,For Profit,2010,,103,,63,https://www.linkedin.com/company/horizon-technology-finance-corporation,,https://www.facebook.com/Horizon-Technology-Finance-341293242550671,Venture Debt,,info@horizontechfinance.com,"Debt, Post-Ipo, Venture","Farmington, Connecticut, United States",(212) 477-8438,"Horizon is a venture lending platform that offers structured debt products to life science and technology companies. Its team of investment and operations professionals has been providing debt capital to some of the most exciting companies for decades. The members of the Horizon team have, collectively, originated and invested more than $5 billion in venture loans to thousands of companies. The company was founded in 2003 and is headquartered in Farmington, Connecticut.",42,https://horizontechfinance.com,"Financial Services, Lending and Investments, Professional Services",42,Post-IPO Equity,,M&A,4,2023,Post-IPO Equity,5,,40625000,40625000,68525000,219775000,Was Acquired,,Monroe Capital,https://www.crunchbase.com/organization/monroe-capital,,Acquisition,,Public,Growing,2010,,,7,7,-13,,,,,,,,,,5803571.429,31396428.57,0.714285714,"Venture Capital, Management Consulting, Financial Services",Financial Services & Fintech,Yes
Athene,https://www.crunchbase.com/organization/athene,$10B+,"Finance, Financial Services, Insurance, Retirement","7,278",Athene Holding is a life insurance company that provides retirement savings products for individuals and institutions.,Active,2009,For Profit,2016,https://twitter.com/atheneusa,65,,1,https://www.linkedin.com/company/athene-usa,,https://www.facebook.com/AtheneUSA/,,,policyholderquestions@athene.bm,,"West Des Moines, Iowa, United States",1.19E+11,"Athene Holding Ltd. (Athene) is a leading retirement services company that issues, reinsures and acquires retirement savings products designed for the increasing number of individuals and institutions seeking to fund retirement needs. Athene’s operating subsidiaries1 issue and reinsure these retirement savings products, including fixed annuities and funding agreements. Athene was founded in 2009 by James Belardi, former President of SunAmerica Life Insurance Company and now CEO of Athene Holding Ltd., and Chip Gillis, former head of Bear Stearns’ Insurance Solutions Group and now CEO of Athene Life Re.",1,https://www.athene.com/,"Community and Lifestyle, Financial Services, Other",1,Post-IPO Debt,3001,M&A,2,2024,Private Equity,3,,500000000,1128200000,1128200000,2228200000,"Made Acquisitions, Was Acquired",,Apollo,https://www.crunchbase.com/organization/apollo-global-management-llc,3,Leveraged Buyout,1080000000,Public,,2016,,10000000000,7,7,-8,,,,,2.16,0.957277079,0.484696167,742485.8381,166611.1296,71428571.43,318314285.7,0.428571429,"Retirement, Insurance, Financial Services",Financial Services & Fintech,Yes
Blend,https://www.crunchbase.com/organization/blend-labs,$50M to $100M,"Financial Services, FinTech, Lending, Software",87,"Blend is a digital lending platform that facilitates the entire lending process, from application to underwriting to closing.",Active,2012,For Profit,2021,http://www.twitter.com/blendlabsinc,197,Exited Unicorn,,https://www.linkedin.com/company/blend-,,https://www.facebook.com/BlendLabs,,,press@blendlabs.com,,"San Francisco, California, United States",(650) 550-4810,"Blend is a digital lending platform that supports and simplifies applications for mortgages, consumer loans, and deposit accounts.The company helps lenders streamline the customer journey for any banking product from application to close. Its Digital Lending Platform is utilized by Wells Fargo, U.S. Bank, and over 285 other leading financial institutions to acquire more customers, increase productivity, and deepen customer relationships. The company enables customers to process more than $4 billion in mortgages and consumer loans per day, helping millions of consumers get into homes and gain access to the capital they need to lead better lives. Erin Collard, Eugene Marinelli, Nima Ghamsari, and Rosco Hill headquartered the company in San Francisco, California in 2012.",,https://www.blend.com,"Financial Services, Software",,Private Equity,3001,IPO,4,2024,Private Equity,11,3952670000,150000000,150000000,815000000,815000000,Made Acquisitions,8,,,1,,360000000,Public,,2021,4145630244,75000000,9,9,-3,26.35113333,26.35113333,4.84990184,4.84990184,2.4,2.4,0.441717791,271576.1413,49983.33889,16666666.67,90555555.56,1.222222222,"Lending, Software, Financial Services",Financial Services & Fintech,Yes
Remitly,https://www.crunchbase.com/organization/remitly,$500M to $1B,"Financial Services, FinTech, Payments",274,Remitly is a mobile payments service that enables users to make person-to-person international money transfers.,Active,2011,For Profit,2021,http://twitter.com/remitly,237,Exited Unicorn,,http://www.linkedin.com/company/remitly,Yes,http://www.facebook.com/Remitly,,,service@remitly.com,,"Seattle, Washington, United States",1 844-604-0924,"Remitly is a mobile payment service that enables consumers to conveniently make person-to-person international money transfers from the United States. Its online service is disrupting the $588 billion a year industry by using the latest technology and mobile devices to eliminate unnecessary forms, codes, agents, extra time, and fees tied to the traditional money transfer process. As a licensed money transmitter, Remitly currently operates in 49 states and Washington, D.C., and spends millions of dollars to thousands of customers each month. Remitly is backed by Stripes Group, DFJ, Vulcan Capital, QED, Trilogy Equity Partners, DN Capital, Founders Co-Op, Bezos Expeditions, and TomorrowVentures.",,http://www.remitly.com,"Financial Services, Payments",,Post-IPO Equity,3001,IPO,3,2023,Post-IPO Equity,15,6900000000,6738894,6738894,426738894,526738894,Made Acquisitions,8,,,3,,301000000,Public,Growing,2021,7236842105,750000000,10,10,-2,1023.90689,1023.90689,13.09946935,16.16913784,44.66608319,44.66608319,0.57144062,175521.1243,2245.549484,673889.4,52673889.4,1.5,"Financial Services, FinTech, Payments",Financial Services & Fintech,Yes
XXF,https://www.crunchbase.com/organization/xxf,,"Automotive, Consumer, Financial Services, Leasing",349,"XXF is a car lease, purchasing, and financing platform.",Active,2007,For Profit,2015,,3,,,https://www.linkedin.com/company/福建喜相逢汽车服务股份有限公司,,,,,,,"Foochow, Fujian, China",4009-188-527,"XXF is a domestic financial leasing business pilot enterprises. They provide automobile financial leasing, new retail, new finance, and new services. They offer diversified product solutions for online car-hailing drivers.",,http://www.xxfqc.com/,"Financial Services, Other, Transportation",,Post-IPO Equity,3001,IPO,,2017,Post-IPO Equity,2,,6998869,6998869,17019351,17019351,,,,,,,,Public,Growing,2015,,,8,8,-2,,,,,,,,5671.226591,2332.17894,874858.625,2127418.875,0.25,"Leasing, Financial Services, Consumer",Financial Services & Fintech,Yes
Payoneer,https://www.crunchbase.com/organization/payoneer,$500M to $1B,"B2B, Finance, FinTech, Payments",465,Payoneer is a financial technology company that enables small and medium-sized enterprises to transact and thrive.,Active,2005,For Profit,2021,http://twitter.com/payoneer,411,Exited Unicorn,,http://www.linkedin.com/company/payoneer,,http://www.facebook.com/Payoneer,,,community@payoneer.com,,"New York, New York, United States",1 800-251-2521,Payoneer is a financial technology company that enables small and medium-sized enterprises to transact and thrive.,,http://www.payoneer.com,"Financial Services, Other, Payments",,Post-IPO Equity,3001,IPO,3,2021,Post-IPO Equity,15,3300000000,300000000,300000000,570000000,570000000,Made Acquisitions,8,,,3,,563000000,Public,Growing,2021,3461098398,750000000,16,16,0,11,11,5.789473684,5.789473684,1.876666667,1.876666667,0.987719298,189936.6878,99966.67777,18750000,35625000,0.9375,"Payments, Finance, FinTech",Financial Services & Fintech,Yes
MoneyLion,https://www.crunchbase.com/organization/moneylion,$100M to $500M,"Consumer Lending, Credit, Financial Services, FinTech",520,"MoneyLion is a mobile banking platform for borrowing, saving, and investing.",Active,2013,For Profit,2021,https://twitter.com/MoneyLion,191,,1,http://www.linkedin.com/company/moneylion,,http://www.facebook.com/MoneyLionInc,,,support@moneylion.com,,"New York, New York, United States",(888)659-8244,"MoneyLion is empowering the American dream by providing everyone access to better products for borrowing, saving, and investing. MoneyLion uses superior analytics and machine learning-based technology to gain a 360-degree view of its users’ personal finances, enabling uniquely personalized advice and underwriting. With its built-in system of rewards, points, and incentives, MoneyLion encourages good financial behavior and better financial outcomes. MoneyLion is headquartered in New York with offices in San Francisco and Kuala Lumpur, Malaysia. For more information, visit www.moneylion.com or download the app at  https://bnc.lt/E1yh/DNjAQCAwrD.",,http://www.moneylion.com/,"Financial Services, Lending and Investments",,Post-IPO Equity,176,IPO,3,2021,Post-IPO Equity,7,2400000000,250000000,250000000,477499428,477499428,Made Acquisitions,3,,,3,,350000000,Public,Growing,2021,2517162471,300000000,8,8,0,9.6,9.6,5.026184031,5.026184031,1.4,1.4,0.732985171,2713064.932,1420454.545,31250000,59687428.5,0.875,"Financial Services, FinTech, Credit",Financial Services & Fintech,Yes
Bank of America,https://www.crunchbase.com/organization/bank-of-america,$10B+,"Asset Management, Banking, Finance, Financial Services, FinTech",599,"Bank of America is a financial institution that offers credit cards, home loans, and auto loan services.",Active,2007,For Profit,1978,https://www.twitter.com/BankofAmerica,"7,339",Crunchbase Venture Program,91,https://www.linkedin.com/company/bank-of-america,Yes,https://www.facebook.com/BankofAmerica,Investment Bank,15,,"Debt, Early Stage Venture, Late Stage Venture, Private Equity","Charlotte, North Carolina, United States",1 800.432.1000,"Bank of America is a financial institution, serving individual consumers, small- and middle-market businesses, and large corporations with a full range of banking, investing, asset management, and other financial and risk management products and services. They serve approximately 51 million consumer and small business relationships with approximately 5,300 retail banking offices and approximately 16,350 ATMs and award-winning online banking with 30 million active users and more than 13 million mobile users. It offers industry-leading support to approximately 3 million small business owners through a suite of innovative, easy-to-use online products and services. The company serves clients through operations in more than 40 countries. Bank of America is a wealth management company specializing in corporate and investment banking and trading across a broad range of asset classes, serving corporations, governments, institutions, and individuals around the world. Bank of America Corporation stock (NYSE: BAC) is a component of the Dow Jones Industrial Average and is listed on the New York Stock Exchange. It was founded in 1998 and is headquartered in Charlotte, North Carolina, United States.",71,https://www.bankofamerica.com,"Financial Services, Lending and Investments",71,Post-IPO Equity,10001,IPO,1,2020,Post-IPO Equity,3,,400000000,400000000,1200000000,1200000000,Made Acquisitions,1,,,9,,,Public,Growing,1978,,10000000000,-29,-29,-42,,,,,,,,119988.0012,39996.0004,,,,"Financial Services, Finance, FinTech",Financial Services & Fintech,Yes
Flywire,https://www.crunchbase.com/organization/flywireco,$100M to $500M,"Financial Services, FinTech, Payments, Service Industry, Software",639,Flywire is a global payments enablement and software company that simplifies complex payments for its clients and their customers.,Active,2011,For Profit,2021,http://twitter.com/Flywire,271,Exited Unicorn,,https://www.linkedin.com/company/flywire,,http://www.facebook.com/Flywire,,,support@flywire.com,,"Boston, Massachusetts, United States",,"Flywire (Nasdaq FLYW) is a global payments enablement and software company. Flywire combines its proprietary global payments network, next-gen payments platform and vertical-specific software to deliver the most important and complex payments for clients and their customers. Flywire leverages its vertical-specific software and payments technology to deeply embed within the existing A R workflows for its clients across the education, healthcare and travel vertical markets, as well as in key B2B industries. Flywire also integrates with leading ERP systems, so organizations can optimize the payment experience for their customers while eliminating operational challenges. Flywire supports 3,700 + clients with diverse payment methods in more than 140 currencies across 240 countries and territories around the world. Flywire is headquartered in Boston, MA, USA with global offices.",,http://www.flywire.com,"Financial Services, Other, Payments, Software",,Post-IPO Equity,3001,IPO,1,2023,Post-IPO Equity,10,,260100000,260100000,583300000,583300000,Made Acquisitions,9,,,8,,,Public,,2021,,300000000,10,10,-2,,,,,,,,194368.5438,86671.10963,26010000,58330000,1,"Payments, Software, Service Industry",Financial Services & Fintech,Yes
Oportun,https://www.crunchbase.com/organization/progreso-financiero,$1B to $10B,"Consumer Lending, Debit Cards, Financial Services, FinTech",890,Oportun is a digital banking platform that offers personal loans and financial services to people with limited credit history.,Active,2005,For Profit,2019,https://twitter.com/Oportun/,96,,,https://www.linkedin.com/company/oportun,,https://www.facebook.com/oportun,,,hello@oportun.com,,"San Carlos, California, United States",866-488-6090,"Oportun (Nasdaq: OPRT) is a digital banking platform that puts its 1.9 million members' financial goals within reach. With intelligent borrowing, savings, budgeting, and spending capabilities, Oportun empowers members with the confidence to build a better financial future. Since inception, Oportun has provided more than $15.5 billion in responsible and affordable credit, saved its members more than $2.3 billion in interest and fees, and helped our members save an average of more than $1,800 annually. For more information, visit Oportun.com.",,https://oportun.com,"Financial Services, Lending and Investments, Payments",,Post-IPO Debt,3001,IPO,2,2023,Private Equity,12,,200000000,90000000,236086897,766086897,Made Acquisitions,4,,,2,,94000000,Public,,2019,,5500000000,14,14,-4,,,,,0.47,1.044444444,0.122701485,255277.2066,66644.45185,14285714.29,54720492.64,0.857142857,"Financial Services, FinTech, Debit Cards",Financial Services & Fintech,Yes
Dave,https://www.crunchbase.com/organization/dave-com,$100M to $500M,"Banking, Financial Services, FinTech",899,Dave is a neobank and fintech company that helps people avoid overdraft fees and improve their financial well-being.,Active,2016,For Profit,2022,https://twitter.com/davebanking,169,Exited Unicorn,,https://www.linkedin.com/company/dave.com,Yes,https://www.facebook.com/TheDaveApp,,,press@dave.com,,"Los Angeles, California, United States",,"Dave is upending the banking industry with its suite of breakthrough financial products. From banking with no hidden fees, free access to $250 of overdraft, credit building and access to additional side work opportunities, Dave products are improving the financial health of its members. The company is also one of the fastest growing financial apps in history with more than 12 million members in under 4 years. As the finance version of David and Goliath taking on the big banks, Dave helps its 12 million customers budget, find work, build credit, and access income to cover immediate expenses. Dave is designed to stand in for the friend or family member that you turn to for immediate money or financial advice.",,http://www.Dave.com,"Financial Services, Lending and Investments",,Post-IPO Debt,376,IPO,3,2023,Post-IPO Equity,9,4000000000,50000000,210000000,276300000,536300000,,5,,,,,375000000,Public,,2022,4113687360,300000000,6,6,-1,80,19.04761905,7.458512027,14.47701773,7.5,1.785714286,0.699235503,1426329.787,132978.7234,8333333.333,89383333.33,1.5,"Banking, Financial Services, FinTech",Financial Services & Fintech,Yes
Expensify,https://www.crunchbase.com/organization/expensify-com,$10M to $50M,"Accounting, Enterprise Applications, Enterprise Software, Financial Services, FinTech",992,Expensify is a financial services company that provides an online expense management service for businesses.,Active,2008,For Profit,2021,http://twitter.com/expensify,452,,,http://www.linkedin.com/company/expensify,,http://www.facebook.com/expensify,,,concierge@expensify.com,,"San Francisco, California, United States",,"Expensify is a financial services startup that provides an online expense management service for businesses. It is a great solution for solopreneurs, startups, SMBs, mid-market companies, and enterprises. The company's expense management service does expense reports by importing expenses and receipts from credit cards and emails in conjunction with the Expensify mobile app to take pictures of receipts. Expense reimbursement can be done in-product through ACH Direct Deposit or by exporting reports to a payroll solution. Expensify's patented SmartScan technology reads receipts and automatically creates expenses or matches them to transactions imported from a credit card.",,https://we.are.expensify.com,"Apps, Financial Services, Professional Services, Software",,Debt Financing,176,IPO,2,2021,Series C,9,2184400000,100000000,17000000,27200000,138200000,,5,,,,,263000000,Public,,2021,2291037376,30000000,13,13,0,21.844,128.4941176,15.80607815,80.30882353,2.63,15.47058824,1.903039074,785227.2727,568181.8182,7692307.692,10630769.23,0.692307692,"Financial Services, FinTech, Enterprise Software",Financial Services & Fintech,Yes
Zip,https://www.crunchbase.com/organization/zipmoney-payments,$500M to $1B,"Finance, Financial Services, FinTech, Payments","1,049",Zip is an online payments technology provider that offers consumers credit options for online shopping.,Active,2013,For Profit,2015,https://twitter.com/zipmoneyau,184,,4,https://www.linkedin.com/company/zip-co-limited,,https://www.facebook.com/ZipAU,,,customercare@zipmoney.com.au,,"Sydney, New South Wales, Australia",61282942345,"Zip is an online payments technology provider that offers consumers credit options for online shopping. The company was founded in 2013 by Larry Diamond, Niamh Mc Enaney, and Peter Gray and is headquartered in 	Sydney, New South Wales, Australia.",4,https://zip.co,"Financial Services, Payments",4,Post-IPO Debt,751,IPO,2,2024,Post-IPO Equity,9,,225000000,91374964,152974965,1118557988,Made Acquisitions,3,,,6,,,Public,,2015,,750000000,2,2,-9,,,,,,,,1489424.751,299600.5326,112500000,559278994,4.5,"Payments, Financial Services, Finance",Financial Services & Fintech,Yes
Blue Owl,https://www.crunchbase.com/organization/blue-owl-e2cf,,"Banking, Consumer Lending, Finance, Financial Services, Lending","1,080",Blue Owl is an alternative asset manager that provides investors access to direct lending and GP capital solutions.,Active,2021,For Profit,2021,,100,,7,https://www.linkedin.com/company/blue-owl-capital/,,,Private Equity Firm,2,inquiry@blueowl.com,"Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Venture","New York, New York, United States",888-215-1944,"Blue Owl Capital is an alternative asset manager that provides investors access to direct lending and GP capital solutions strategies through a variety of vehicles. The firm's breadth of offerings and permanent capital base enables it to offer a differentiated, holistic platform of capital solutions to participants throughout the private market ecosystem, including alternative asset managers and private middle market corporations.",11,https://www.blueowl.com/,"Financial Services, Lending and Investments",11,Post-IPO Debt,751,IPO,4,2024,Post-IPO Equity,4,,250000000,1500000000,1500000000,2900000000,Made Acquisitions,,,,7,,275000000,Public,,2021,,,0,0,-3,,,,,1.1,0.183333333,0.094827586,3861517.976,332889.4807,,,,"Lending, Consumer Lending, Financial Services",Financial Services & Fintech,Yes
Alkami Technology,https://www.crunchbase.com/organization/alkami-technology,$10M to $50M,"Banking, Credit, Finance, Financial Services, FinTech, SaaS, Software","1,124",Alkami Technology provides cloud-based digital banking solutions for credit unions and banks.,Active,2009,For Profit,2021,http://twitter.com/alkamitech,68,,,https://www.linkedin.com/company/alkamitech/,,https://www.facebook.com/AlkamiTechnology/,,,marketing@alkamitech.com,,"Plano, Texas, United States",+1 877 725 5264,"Alkami Technology provides cloud-based digital banking solutions for credit unions and banks. Its platform provides financial institutions a complete digital banking solution ready to facilitate both retail and business user onboarding, engagement, and account servicing. It enables clients to enhance the platform with upgrades and can tailor their experience with additional Alkami products as well as third-party solutions. The company was founded in 2009 and is headquartered in Plano, Texas.",,http://www.alkami.com/,"Financial Services, Lending and Investments, Software",,Venture - Series Unknown,751,IPO,3,2020,Venture - Series Unknown,11,,140000000,140000000,385182200,385182200,Made Acquisitions,5,,,3,,,Public,Growing,2021,,30000000,12,12,1,,,,,,,,512892.4101,186418.1092,11666666.67,32098516.67,0.916666667,"Credit, Banking, Software",Financial Services & Fintech,Yes
PolicyBazaar,https://www.crunchbase.com/organization/policybazaar,$10M to $50M,"Auto Insurance, Commercial Insurance, Finance, Health Insurance, Life Insurance","1,133",Policybazaar is an insurance broker that offers a platform to compare and buy insurance policies from various insurance providers.,Active,2008,For Profit,2021,https://twitter.com/policybazaar,302,Exited Unicorn,1,http://www.linkedin.com/company/policybazaar,,https://www.facebook.com/Policybazaar,,3,social@policybazaar.com,,"Gurgaon, Haryana, India",1800-208-8787,"PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products. Its insurance comparison portal and mobile application provide information across products such as medical, term life, travel or motor insurance, low prices ULIPS, and other investment products, enabling consumers to compare and analyze financial products. Users can compare different insurance plans based on parameters such as coverage, premium, benefits, and exclusions. The platform provides information about various insurance products and helps users make informed decisions about their insurance needs. Policybazaar also offers tools and calculators to help users estimate their insurance requirements and premiums.",,http://policybazaar.com,Financial Services,,Post-IPO Secondary,3001,IPO,5,2023,Post-IPO Equity,15,6150000000,104807423,33459950,655059950,904867374,,9,,,,,799669491,Public,Growing,2021,6450228833,30000000,13,13,-2,58.67904986,183.8018288,6.796576136,9.388453683,7.629893648,23.89930323,0.883742208,301521.9507,34924.16628,8062109.462,69605182.62,1.153846154,"Life Insurance, Health Insurance, Commercial Insurance",Financial Services & Fintech,Yes
Funding Circle,https://www.crunchbase.com/organization/funding-circle,$100M to $500M,"Finance, Financial Services, FinTech, Lending","1,252",Funding Circle is a lending platform for small businesses.,Active,2010,For Profit,2018,http://twitter.com/FundingCircleUK,"1,230",Exited Unicorn,2,https://www.linkedin.com/company/funding-circle,Yes,https://www.facebook.com/FundingCircleUK,,,contactus@fundingcircle.com,,"London, England, United Kingdom",0800 048 2467,"When Funding Circle was founded, they could see that businesses weren’t being given the finance to grow, while investors were making poor returns. They had a simple idea — let them support each other. By lending directly to businesses through Funding Circle, investors can now earn attractive returns to better provide for their future. Businesses get fast, easy access to funding to grow, create jobs, support local communities and drive the economy forward. They believe it’s better for everyone.",1,http://www.fundingcircle.com,Financial Services,1,Post-IPO Debt,751,IPO,5,2019,Series F,10,1954652071,323495197,100000000,373235731,746417715,Made Acquisitions,8,,,3,,390930414,Public,,2018,2140698206,300000000,8,8,-1,6.042290857,19.54652071,2.618710719,5.237044336,1.208458171,3.90930414,0.523742143,993898.4221,430752.5925,40436899.63,93302214.38,1.25,"Lending, Financial Services, Finance",Financial Services & Fintech,Yes
Sezzle,https://www.crunchbase.com/organization/sezzle-inc,$100M to $500M,"E-Commerce, Financial Services, FinTech, Mobile Payments, Payments","1,354","Sezzle provides a buy now, pay later solution platform.",Active,2016,For Profit,2023,https://twitter.com/sezzleinc,259,,,https://www.linkedin.com/company/sezzle,,https://www.facebook.com/sezzle,,,info@sezzle.com,,"Minneapolis, Minnesota, United States",(651)504-5402,"Sezzle is a financial services company that offers a technology-driven, payments. The company is driven by its mission is to financially empowering the next generation. Sezzle provides a payment platform that facilitates fast, secure, and easy payments between consumers and retailers.  The company was founded in 2016 and headquartered in Minnesota, United States.",,https://sezzle.com,"Commerce and Shopping, Financial Services, Mobile, Payments, Software",,Post-IPO Debt,176,IPO,6,2024,Post-IPO Equity,9,,150000000,30000000,101600000,551600000,,2,,,,,,Public,Growing,2023,,300000000,7,7,-1,,,,,,,,3134090.909,852272.7273,21428571.43,78800000,1.285714286,"Payments, Mobile Payments, Financial Services",Financial Services & Fintech,Yes
JP Morgan Chase,https://www.crunchbase.com/organization/jpmorgan-chase-co,$10B+,"Asset Management, Banking, Financial Services","1,709","JP Morgan Chase is a global financial services provider that offers investment banking, asset management, treasury, and other services.",Active,2000,For Profit,1998,https://www.twitter.com/jpmorgan,255,,102,https://www.linkedin.com/company/jpmorganchase,,https://www.facebook.com/jpmorganchase,Investment Bank,9,,"Debt, Late Stage Venture, Private Equity","New York, New York, United States",(212) 270-0589,"JPMorgan Chase is a financial holding company, provides various financial services worldwide. The company's Investment Bank segment provides investment banking products and services, including advising on corporate strategy and structure, capital raising in equity and debt markets, risk management, market-making in cash securities and derivative instruments, and prime brokerage and research. It was founded in February 2000 and is based in New York, United States.",79,http://www.jpmorganchase.com,"Financial Services, Lending and Investments",79,Grant,10001,IPO,3,2019,,1,,3000000,,,3000000,Made Acquisitions,,,,19,,,Public,Growing,1998,,10000000000,-2,-2,-21,,,,,,,,299.970003,299.970003,,,,"Asset Management, Banking, Financial Services",Financial Services & Fintech,Yes
Trinity Capital,https://www.crunchbase.com/organization/trinity-capital-investment,,"Finance, Financial Services, Lending, Venture Capital","1,827",Trinity Capital is a provider of venture debt and equipment financing to venture-backed companies with institutional equity investors.,Active,2008,For Profit,2021,https://twitter.com/trincapinvest,67,,34,https://www.linkedin.com/company/trinity-capital-inc,,,Venture Debt,,,"Convertible Note, Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Venture","Phoenix, Arizona, United States",(480) 247-5099,"Trinity Capital is a provider of venture debt and equipment financings to emerging growth-stage companies. They work closely with venture capital firms, tech banks, and their respective portfolio companies to provide insightful and competitive venture debt financing solutions to address their customers’ specific needs. Having funded some of the world’s most innovative start-up companies, they are the partner of choice for venture-backed technology start-ups seeking access to capital while preserving equity.",44,https://trinitycap.com,"Financial Services, Lending and Investments",44,Post-IPO Debt,76,IPO,1,2024,Post-IPO Equity,4,,100000000,75000000,180000000,280000000,,,,,,,,Public,,2021,,,13,13,-3,,,,,,,,3684210.526,1315789.474,7692307.692,21538461.54,0.307692308,"Venture Capital, Lending, Financial Services",Financial Services & Fintech,Yes
One97 Communications,https://www.crunchbase.com/organization/one97-communications,$500M to $1B,"Finance, FinTech, Information Technology, Mobile Advertising, Mobile Payments, Software","1,931",One97 Communications is a mobile payments services company that delivers mobile content and commerce services to its customers.,Active,2000,For Profit,2021,https://twitter.com/One97,104,Exited Unicorn,7,https://www.linkedin.com/company/one97-communications-limited,,https://www.facebook.com/One97,,1,info@one97.com,,"Noida, Uttar Pradesh, India",-4770799,"One97 Communications is a mobile payments services company that delivers mobile content and commerce services to its customers. It offers digital goods and services to mobile consumers under its Paytm brand.  The company has more than 4,500 employees with its headquarters in New Delhi and regional offices in Mumbai, Bengaluru, Pune, Chennai, and Kolkata with a global presence in Africa, Europe, the Middle East, and Southeast Asia. Marquee investors like Alibaba Group, Ant Financial (AliPay), SAIF Partners, Mediatek, Sapphire Venture, and Silicon Valley Bank back it.",2,https://one97.com,"Advertising, Financial Services, Information Technology, Mobile, Payments, Sales and Marketing, Software",2,Post-IPO Secondary,3001,IPO,1,2023,Post-IPO Equity,15,,246335943,69062266,4787336904,5323050260,Made Acquisitions,9,,,2,,,Public,,2021,,750000000,21,21,-2,,,,,,,,1773758.834,82084.61946,11730283,253478583.8,0.714285714,"Mobile Payments, Mobile Advertising, Software",Financial Services & Fintech,Yes
