Organization Name,Organization Name URL,Estimated Revenue Range,Industries,CB Rank (Company),Description,Operating Status,Founded Date,Company Type,Exit Date,Twitter,Number of Articles,Hub Tags,Number of Lead Investments,LinkedIn,Actively Hiring,Facebook,Investor Type,Number of Sub-Orgs,Contact Email,Investment Stage,Number of Investments,Headquarters Location,Phone Number,Full Description,Number of Exits (IPO),Website,Number of Portfolio Organizations,Industry Groups,Number of Exits,Last Funding Type,Number of Employees,Funding Status,Number of Founders,Last Funding Date,Last Equity Funding Type,Number of Funding Rounds,Valuation at IPO (in USD),Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Acquisition Status,Number of Lead Investors,Acquired by,Acquired by URL,Number of Acquisitions,Acquisition Type,Price (in USD),Announced Date,Money Raised at IPO (in USD),IPO Status,Last Layoff Mention Date,Growth Category,Last Leadership Hiring Date,IPO Date,Numeric Revenue Range,IPO Date - Founded Date,Exit Date - Founding Date,IPO Date - Last_Funding_Date,Valuation_at_IPO / Last_Funding,Valuation_at_IPO_per_Last_Equity_Funding,Valuation_at_IPO / Total_Funding,Valuation_at_IPO / Total_Equity_Funding,Money_Raised_at_IPO / Last_Funding,Money_Raised_at_IPO / Last_Equity_Funding,Money_Raised_at_IPO / Total_Funding,Money_Raised_at_IPO / Total_Equity_Funding,Total funding amount / number of employees,Numeric revenue range / number of employees,Last funding amount / number of employees,Last funding amount / ( ipo - founded date ),Total funding amount / (ipo - founded date),Number of funding rounds / (ipo - founde date),Numeric revenue amount / total number of employees * (IPO - founded date),ind_update,narrowed_industry,,Organization Name.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Number of Articles.1,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Number of Investments.1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Number of Exits (IPO).1,Unnamed: 26,Number of Portfolio Organizations.1,Unnamed: 28,Number of Exits.1,Unnamed: 30,Number of Employees.1,Unnamed: 32,Number of Founders.1,Unnamed: 34,Unnamed: 35,Number of Funding Rounds.1,Valuation at IPO (in USD).1,Last Funding Amount (in USD).1,Last Equity Funding Amount (in USD).1,Total Equity Funding Amount (in USD).1,Total Funding Amount (in USD).1,Unnamed: 42,Number of Lead Investors.1,Unnamed: 44,Unnamed: 45,Number of Acquisitions.1,Unnamed: 47,Unnamed: 48,Unnamed: 49,Money Raised at IPO (in USD).1,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Adjusted Valuation According to Inflation,Numerical Revenue Range,IPO Date - Founded Date.1,Exit Date - Founding Date.1,IPO Date - Last_Funding_Date.1,Valuation_at_IPO / Last_Funding.1,Valuation_at_IPO_per_Last_Equity_Funding.1,Valuation_at_IPO / Total_Funding.1,Valuation_at_IPO / Total_Equity_Funding.1,Money_Raised_at_IPO / Last_Funding.1,Money_Raised_at_IPO / Last_Equity_Funding.1,Money_Raised_at_IPO / Total_Funding.1,Money_Raised_at_IPO / Total_Equity_Funding.1,Total funding amount / number of employees.1,Numeric revenue range / number of employees.1,Last funding amount / number of employees.1,Last funding amount / ( ipo - founded date ).1,Total funding amount / (ipo - founded date).1,Number of funding rounds / (ipo - founde date).1,IPO - last learship hiring date,Numeric revenue amount / total number of employees * (IPO - founded date).1,success
Aquinox Pharmaceuticals,https://www.crunchbase.com/organization/aquinox-pharmaceuticals,$10M to $50M,"Biotechnology, Health Care, Therapeutics","23,062",Aquinox Pharmaceuticals develops and commercializes small molecule therapeutics for the treatment of cancer and inflammatory diseases.,Closed,2004,For Profit,2014,http://twitter.com/aqxpharma,6,,,http://www.linkedin.com/company/aquinox-pharmaceuticals-inc.,,,,1,info@aqxpharma.com,,,"Vancouver, British Columbia, Canada",604.629.9223,"Aquinox Pharmaceuticals Inc., a pharmaceutical company, engages in discovery, development, and commercialization of small molecule therapeutics for the treatment of cancer and inflammatory disease. It offers AQX-MN100, a drug used to treat cancer and inflammatory disease, as well as SH2-containing inositol 5'-phosphatase inhibition program for blood cell recovery. The company was founded in 2004 and is based in Vancouver, Canada.",,http://www.aqxpharma.com,,"Biotechnology, Health Care, Science and Engineering",,Post-IPO Equity,31,IPO,,2016,Post-IPO Equity,8,107000000,75400000,75400000,221387882,221387882,Made Acquisitions,2,,,1,,,,46200000,Public,,,,2014,30000000,10,10,-2,1.419098143,1.419098143,0.48331462,0.48331462,0.612732095,0.612732095,0.208683509,0.208683509,7141544.581,967741.9355,2432258.065,7540000,22138788.2,0.8,96774.19355,"Biotechnology, Health Care, Therapeutics",Healthcare & Biotechnology,,Moderna,,,,,,,,,,,932,,,,,,,,,,6,,,,3,,5,,3,,7501,,5,,,14,7565000000,750000000,750000000,2724000000,3731600000,,8,,,1,,,,604000000,,,,,,8285045798,5500000000,8,8,-6,10.08666667,10.08666667,2.027280523,2.777165932,0.805333333,0.805333333,0.161860864,0.221732746,497480.336,733235.5686,99986.66844,93750000,466450000,1.75,,91654.44607,Yes
"""Pathway Genomics""",https://www.crunchbase.com/organization/pathway-genomics,$10M to $50M,,"23,149","""Pathway Genomics"" was a CAP accredited global clinical lab offering genetic tests for cancer risk, drug responses, and other conditions.",Closed,2008,For Profit,,,,,,,,,,,,,,,,,,,,,,Series E,176,Late Stage Venture,1,2016,Series E,2,,40000000,40000000,43000000,43000000,,1,,,,,,,,Private,,,,,30000000,,,,,,,,,,,,244318.1818,170454.5455,227272.7273,,,,,,Uncategorized,,BioNTech,,,,,,,,,,,652,,,,,,,,,,5,,,,3,,5,,3,,7501,,3,,,10,3393000000,145000000,145000000,1286164024,1886003260,,8,,,4,,,,150000000,,,,,,3649100508,5500000000,11,11,-5,23.4,23.4,1.799042489,2.63807721,1.034482759,1.034482759,0.079533267,0.116625871,251433.5769,733235.5686,19330.7559,13181818.18,171454841.8,0.909090909,,66657.77896,Yes
Motif,https://www.crunchbase.com/organization/motif-investing,$100M to $500M,"Finance, Financial Services, Internet","23,151",Motif is a financial service company offering thematic investing to individual and institutional investors.,Closed,2010,For Profit,2020,http://twitter.com/motifinvesting,124,,,http://www.linkedin.com/company/motif-investing,,http://www.facebook.com/motifinvesting,,,info@motifinvesting.com,,,"San Mateo, California, United States",+1 855 856 6843,Motif is a digital brokerage firm. They provide provides thematic investing solutions for individuals and financial advisors. They also provide assets under management between individual accounts and institutional clients.,,http://motif.com,,"Financial Services, Internet Services",,Series E,76,M&A,2,2015,Series E,6,,40000000,40000000,126500000,126500000,Was Acquired,5,Charles Schwab,https://www.crunchbase.com/organization/charles-schwab,,Leveraged Buyout,,2020,,Private,,,2021,,300000000,,10,,,,,,,,,,1664473.684,3947368.421,526315.7895,,,,,"Finance, Financial Services, Internet",Financial Services & Fintech,,Cue,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,3001,,2,,,11,2300000000,,235000000,405603339,899603339,,6,,,,,,,200000000,,,,,,2412280702,750000000,11,11,-1,,9.787234043,2.556682374,5.670564758,,0.85106383,0.222320206,0.493092588,299767.857,249916.6944,,,81782121.73,1,,22719.69949,Yes
Ontera,https://www.crunchbase.com/organization/ontera-inc,,"Biotechnology, Health Care, Life Science, Medical, Medical Device","23,203","Ontera develops a hand-held point of use diagnostic platform that examines DNA and RNA, and analytes from any life form.",Closed,2011,For Profit,,https://twitter.com/onterainc,3,,,https://www.linkedin.com/company/ontera-inc/,,,,,info@ontera.bio,,,"Santa Cruz, California, United States",(831)515-8515,"Ontera develops a hand-held point of use diagnostic platform that examines DNA and RNA, and analytes (proteins, viruses, antibodies, etc) from any life form. Use in human and animal diagnostics, agriculture, food safety testing, environmental monitoring, and more. Our platforms use silicon nanopore chips and proprietary biochemistry to accurately detect and differentiate single molecules. We will help transform point-of-care testing and third generation sequencing.",,https://www.ontera.bio/,,"Biotechnology, Health Care, Science and Engineering",,Venture - Series Unknown,76,,2,2018,Venture - Series Unknown,3,,2869984,2869984,32553646,32553646,,1,,,,,,,,Private,,,,,,,,,,,,,,,,,428337.4474,,37762.94737,,,,,"Life Science, Medical Device, Medical",Healthcare & Biotechnology,,Teladoc Health,,,,,,,,,,,889,,,,,,,,,,,,,,,,,,,,7501,,2,,,6,703880574,80000000,50250081,92850085,172850085,,5,,,12,,,,157000000,,,,,,816739062.7,5500000000,13,13,-1,8.798507175,14.00755103,4.072202649,7.580828537,1.9625,3.124373073,0.908301549,1.690897752,23043.60552,733235.5686,10665.24463,6153846.154,13296160.38,0.461538462,,56402.73605,Yes
nhentai,https://www.crunchbase.com/organization/nhentai,,"Adult, Comics, Internet","23,215",nhentai is an image-hosting and file-sharing website focused on hentai.,Closed,2008,For Profit,,,1,,,,,,,,,,,"San Francisco, California, United States",,nhentai is an image-hosting and file-sharing website focused on hentai.,,https://nhentai.net/,,"Community and Lifestyle, Consumer Goods, Internet Services",,Series A,31,Early Stage Venture,,2017,Series A,2,,15000000,15000000,16000000,16000000,,,,,,,,,,Private,,,,,,,,,,,,,,,,,516129.0323,,483870.9677,,,,,"Adult, Comics, Internet",Uncategorized,,Amwell,,,,,,,,,,,366,,,,,,,,,,,,,,,,,,,,3001,,2,,,10,4057773516,54999501,54999501,855954111,865954111,,4,,,4,,,,742000000,,,,,,4311776340,30000000,14,14,-1,73.77836966,73.77836966,4.685899015,4.740643761,13.49103149,13.49103149,0.856858338,0.866868902,288555.1853,9996.667777,18327.05798,3928535.786,61853865.07,0.714285714,,714.0476984,Yes
Solarflare Communications,https://www.crunchbase.com/organization/solarflare,$10M to $50M,"Big Data, Enterprise Software, Information Technology, Software","23,235",Solarflare Communications develops application-intelligent 10GbE server networking software and hardware solutions.,Closed,2001,For Profit,2019,http://twitter.com/solarflare10g,18,,,https://www.linkedin.com/company/solarflare-communications/,,http://www.facebook.com/Solarflare/172271849489104,,,info@solarflare.com,,,"Irvine, California, United States",(194) 958-1683,"Solarflare Communications is a computer networking company that specializes in providing neural-class networks, technologies for ultra-scale, and software-defined. It also provides a comprehensive, integrated set of technologies for distributed, ultra-scale, software-defined datacenters. It was founded in 2001 and headquartered in Irvine, California.",,http://www.solarflare.com,,"Data and Analytics, Information Technology, Software",,Corporate Round,176,M&A,1,2018,Corporate Round,23,,,,257931379,305949098,"Made Acquisitions, Was Acquired",2,cPacket Networks,https://www.crunchbase.com/organization/cpacket-networks,1,Leveraged Buyout,,2019,,Private,,,,,30000000,,18,,,,,,,,,,1738347.148,170454.5455,,,,,,"Software, Enterprise Software, Information Technology",Technology & Software,,Invitae,,,,,,,,,,,277,,,,,,,,,,,,,,,,,,,,3001,,5,,,14,,1150000000,460000000,1185202111,2679202111,,1,,,14,,,,102000000,,,,,,,300000000,5,5,-6,,,,,0.088695652,0.22173913,0.038071036,0.086061271,892769.7804,99966.67777,383205.5981,230000000,535840422.2,2.8,,19993.33555,Yes
Remedee Labs,https://www.crunchbase.com/organization/remedee,$10M to $50M,"Health Care, Medical Device","23,237",Redefining life with chronic pain,Closed,2016,For Profit,,https://twitter.com/remedeelabs,4,,,https://www.linkedin.com/company/remedeelabs,,,,,contact@remedee.com,,,"Montbonnot-saint-martin, Rhone-Alpes, France",,"1.5 billion people worldwide suffer from chronic pain and over half of them are not satisfied with their care. Remedee Labs aims to give these patients a new life.  Based on 10 years of pre-clinical and clinical research, Remedee Labs has developed the first endorphin stimulator for personal use. Building on the experience of its clinical partners, the company now uses its unique technology to offer the first patient-centered digital service platform for chronic pain management, working alongside medical practitioners. Remedee Labs initial focus is helping patients with fibromyalgia, and plans extend the Platform offering to other chronic pain conditions in the coming future. Founded in 2016, Remedee Labs announced in 2019 that it had raised 12 million dollard from investors, including HCVC, Habert Dassault Finance, Partech, Supernova Invest and C4 Venture.",,https://www.remedeelabs.com,,Health Care,,Series A,31,Early Stage Venture,3,2022,Series A,2,,12770188,12770188,24770189,24770189,,1,,,,,,,,Private,,,,,30000000,,,,,,,,,,,,799038.3548,967741.9355,411941.5484,,,,,"Health Care, Medical Device",Healthcare & Biotechnology,,Stoke Therapeutics,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,176,,4,,,4,566296524,125000000,125000000,360100000,360100000,,2,,,,,,,163300000,,,,,,609040063,30000000,5,5,-5,4.530372192,4.530372192,1.572609064,1.572609064,1.3064,1.3064,0.453485143,0.453485143,2046022.727,170454.5455,710227.2727,25000000,72020000,0.8,,34090.90909,Yes
Pebble,https://www.crunchbase.com/organization/pebble,$10M to $50M,"Electronics, Hardware, Manufacturing, Software, Wearables","23,291",Pebble develops android-based wristwatches.,Closed,2009,For Profit,2016,http://twitter.com/pebble,"2,474",,,https://www.linkedin.com/company/allerta-incorporated/,,http://www.facebook.com/getpebble,,,info@getpebble.com,,,"Palo Alto, California, United States",,"Pebble manufactures smartwatch-based fitness wearables. Their watch can be paired with both iPhones and BlackBerry phones, enabling users to view notifications at a glance as well as help customers track their health conditions, including steps, distance, active time, and calories burned; plus, it sends quick summaries right after an activity.",,https://www.pebble.com,,"Consumer Electronics, Hardware, Manufacturing, Software",,Product Crowdfunding,76,M&A,1,2016,Equity Crowdfunding,7,,12799843,4462343,19837343,63276172,Was Acquired,2,Fitbit,https://www.crunchbase.com/organization/fitbit,,Acquisition,40000000,2016,,Private,,,,,30000000,,7,,,,,,,,,,832581.2105,394736.8421,168418.9868,,,,,"Wearables, Software, Manufacturing",Technology & Software,,Augmedix,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,3001,,2,,,11,148606660,25000000,25000000,146700000,161700000,,7,,,,,,,40000000,,,,,,155861294.8,75000000,9,9,-2,5.9442664,5.9442664,0.919026964,1.012997001,1.6,1.6,0.247371676,0.272665303,53882.03932,24991.66944,8330.556481,2777777.778,17966666.67,1.222222222,,2776.85216,Yes
Achaogen,https://www.crunchbase.com/organization/achaogen,$1M to $10M,"Biotechnology, Health Care, Medical","23,333","Achaogen, a biopharmaceutical company, discovers and develops broad-spectrum antibiotics to treat multi-drug resistant bacterial infections.",Closed,2004,For Profit,2014,http://twitter.com/achaogen,26,,,http://www.linkedin.com/company/achaogen,,http://www.facebook.com/pages/Achaogen/208924565797090,,,info@achaogen.com,,,"South San Francisco, California, United States",(650) 800-3636,"Achaogen is a clinical stage biopharmaceutical company focused on the discovery and development of broad-spectrum antibiotics to treat multi-drug resistant bacterial infections. The company's most advanced drug candidate, ACHN-490, has demonstrated a positive safety and dosing profile in Phase 1 clinical testing and displayed broad spectrum efficacy in preclinical studies against systemic infections caused by multi-drug resistant (MDR) Gram-negative bacteria (e.g., E. coli, K. pneumoniae, and P. aeruginosa) and MRSA. In addition, the company is pursuing preclinical programs in several other areas of interest to combat the global emergence of bacterial resistance.",,http://www.achaogen.com,,"Biotechnology, Health Care, Science and Engineering",,Grant,176,IPO,2,2018,Post-IPO Equity,9,200400000,12000000,9999976,152055670,178655670,,4,,,,,,,72000000,Public,,,,2014,5500000,10,10,-4,16.7,20.0400481,1.121710831,1.317938358,6,7.20001728,0.403009879,0.473510787,1015089.034,31250,68181.81818,1200000,17865567,0.9,3125,"Biotechnology, Health Care, Medical",Healthcare & Biotechnology,,Clover Health,,,,,,,,,,,294,,,,,,,,,,1,,,,,,1,,,,751,,2,,,8,,300000000,300000000,1625000000,1625000000,,3,,,,,,,,,,,,,,5500000000,8,8,1,,,,,,,,,2163781.625,7323568.575,399467.3768,37500000,203125000,1,,915446.0719,Yes
Birst,https://www.crunchbase.com/organization/birst,$10M to $50M,"Analytics, Business Intelligence, Data Management, Embedded Software, Enterprise Software, Web Development","23,414",Birst is a global leader in cloud business intelligence and analytics for the enterprise.,Closed,2004,For Profit,2017,http://twitter.com/BirstBI,211,,,http://www.linkedin.com/company/birst,,http://www.facebook.com/BirstBI,,,info@birst.com,,,"San Francisco, California, United States",866-940-1496,"Birst is the world’s most advanced networked business analytics platform. Organizations can now achieve a new level of trusted insight and decision making by connecting their data and people via a network of analytics services. Birst scales from individuals to the enterprise in a manner that is smarter, more connected, and more scalable than any previous analytics and business intelligence platform. Learn more at www.birst.com and join the conversation @BirstBI.",,http://www.birst.com,,"Data and Analytics, Software",,Series F,376,M&A,2,2015,Series F,3,,65000000,65000000,129000000,129000000,Was Acquired,2,Infor,https://www.crunchbase.com/organization/infor,,Acquisition,,2017,,Private,,,,,30000000,,13,,,,,,,,,,343085.1064,79787.23404,172872.3404,,,,,"Business Intelligence, Analytics, Enterprise Software",Technology & Software,,10X Genomics,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,3001,,2,,,7,3660000000,,,242600000,242600000,,4,,,6,,,,390000000,,,,,,3936253422,750000000,7,7,-1,,,15.08656224,15.08656224,,,1.607584501,1.607584501,80839.72009,249916.6944,,,34657142.86,1,,35702.38492,Yes
WePower,https://www.crunchbase.com/organization/wepower-network,$1M to $10M,"Blockchain, CleanTech, Energy, Environmental Consulting, GreenTech, Information Technology, Renewable Energy, Trading Platform","23,527",WePower is a green energy trading platform that enables finance green energy projects to invest into and trade green energy.,Closed,2016,For Profit,,https://twitter.com/WePowerN,2,,,https://www.linkedin.com/company/wepower-network,,https://www.facebook.com/WePowerNetwork,,,team@wepower.network,,,"Vilnius, Vilniaus Apskritis, Lithuania",,"WePower is a green energy trading platform that enables finance green energy projects to invest into and trade green energy. The platform connects Individual business energy buyers directly with energy producers enabling them to purchase energy upfront at below-market rates. It eliminates the complexity from entering into a power purchase agreement (PPA), gives a right to choose whatever renewable energy volume to contract, increases renewable energy project’s exposure, and provides liquidity to trade power purchase agreements. WePower helps renewable energy producers to raise capital by issuing their own energy tokens. The company has developed the Ethereum Smart Energy contract tokens to standardize, simplify, and globally open currently existing energy investment ecosystem. It deploys smart contracts and enables its participants to invest and finance green energy projects as well as acquire green energy in an efficient, secure, and transparent way. WePower was founded in 2016 and is headquartered in Vilnius, Lithuania.",,https://wepower.com,,"Blockchain and Cryptocurrency, Energy, Financial Services, Information Technology, Lending and Investments, Other, Professional Services, Sustainability",,Seed,31,Seed,3,2019,Seed,3,,,,40000000,40000000,,,,,,,,,,Private,,,,,5500000,,,,,,,,,,,,1290322.581,177419.3548,,,,,,"Energy, Renewable Energy, Trading Platform",Energy & Environmental Services,,Accolade,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,3001,,2,,,10,,221400000,221400000,454744444,458744444,,7,,,4,,,,,,,,,,,300000000,14,14,1,,,,,,,,,152863.86,99966.67777,73775.4082,15814285.71,32767460.29,0.714285714,,7140.476984,Yes
Filament,https://www.crunchbase.com/organization/filamenthq,$10M to $50M,"Bitcoin, Blockchain, Hardware, Industrial, Internet of Things, Software","23,529",Filament builds blockchain hardware & software solutions for enterprise and IoT.,Closed,2012,For Profit,,https://twitter.com/FilamentHQ,31,,,https://www.linkedin.com/company/filament-networks,,,,,hello@filament.com,,,"Reno, Nevada, United States",(775) 434-0095,"Filament builds blockchain hardware and& software solutions for enterprise and IoT. Filament’s distributed blockchain capabilities leverage open protocols so that devices are able to independently process and record transactions, ensuring digital trust. Its new trusted application software and Blocklet Chip, currently in beta, are designed to communicate and interact with multiple blockchain technologies natively. The software, implemented on existing hardware, will deliver a secure distributed ledger technology solution. The Blocklet Chip will allow industrial corporations and enterprises to seamlessly extract the value of recording and monetizing data assets, at the edge of the network, on the sensors themselves.",,https://filament.com,,"Blockchain and Cryptocurrency, Financial Services, Hardware, Internet Services, Manufacturing, Other, Payments, Software",,Series A,31,Early Stage Venture,3,2017,Series A,8,,15000000,15000000,21945000,22575232,,2,,,,,,,,Private,,,,,30000000,,,,,,,,,,,,728233.2903,967741.9355,483870.9677,,,,,"Software, Hardware, Blockchain",Technology & Software,,Akili Interactive Labs,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,76,,3,,,8,448560000,110000000,110000000,220400000,270590000,,4,,,,,,,163000000,,,,,,461308900.5,5500000,11,11,1,4.077818182,4.077818182,1.657710928,2.035208711,1.481818182,1.481818182,0.602387376,0.739564428,3560394.737,72368.42105,1447368.421,10000000,24599090.91,0.727272727,,6578.947368,Yes
Yiguo.com,https://www.crunchbase.com/organization/shanghai-yiguo-electron-business,$10M to $50M,"E-Commerce, Grocery, Online Portals, Retail","23,645","Yiguo.com, an e-commerce platform owned and run by Shanghai Yiguo E-Commerce, sells fresh food online.",Closed,2005,For Profit,,,5,,2,,,,,,KF@yiguo.com,,2,"Changning, Shanghai, China",8.62E+11,"Yiguo is a fresh produce e-commerce platform. The company was founded in 2005 and is based in Shanghai, China. Yiguo guarantees one-day delivery in the cities of Beijing, Shanghai, Guangzhou and Chengdu, and two-day delivery in over 200 cities.",,http://www.yiguo.com,2,"Commerce and Shopping, Food and Beverage, Internet Services",,Series D,7501,Late Stage Venture,1,2017,Series D,5,,300000000,300000000,500000000,500000000,Made Acquisitions,4,,,1,,,,,Private,,,,,30000000,,,,,,,,,,,,66657.77896,3999.466738,39994.66738,,,,,"E-Commerce, Online Portals, Retail",Consumer Goods & Retail,,Cencora,,,,,,,,,,,343,,,,,,,,,,7,,,,2,,6,,2,,10001,,1,,,4,,500000000,,,3025000000,,,,,24,,,,,,,,,,,10000000000,-28,-28,-29,,,,,,,,,302469.753,999900.01,49995.0005,,,,,,Yes
Maxi Mobility,https://www.crunchbase.com/organization/maxi-mobility,$1M to $10M,"Developer Platform, Information Technology, Internet, Mobile, Transportation","23,693",Maxi Mobility is the parent company of Cabify,Closed,2011,For Profit,,,3,,,https://www.linkedin.com/company/maxi-mobility,,https://www.facebook.com/pages/Maxi-Mobility/121845457872452,,1,,,,"Madrid, Madrid, Spain",34635887364,"Founded in 2011, Maxi Mobility is a transportation platform incorporated to create opportunities in the intersection of mobility and technology through the development of products.",,http://www.maximobility.es,,"Information Technology, Internet Services, Mobile, Software, Transportation",,Venture - Series Unknown,3001,,1,2017,Venture - Series Unknown,3,,99999994,99999994,196949611,196949611,,,,,,,,,,Private,,,,,5500000,,,,,,,,,,,,65627.99434,1832.722426,33322.22393,,,,,"Transportation, Mobile, Internet",Transportation & Automotive,,BridgeBio,,,,,,,,,,,168,,,,,,,,,,5,,,,2,,4,,2,,376,,3,,,13,2039999439,250000000,250000000,1124200000,3849200000,,4,,,1,,,,368000000,,,,,,2193976714,75000000,4,4,-5,8.159997756,8.159997756,0.52998011,1.814623233,1.472,1.472,0.095604281,0.327343889,10237234.04,199468.0851,664893.617,62500000,962300000,3.25,,49867.02128,Yes
Simpo,https://www.crunchbase.com/organization/simpoio,$1M to $10M,"Analytics, Internet, SaaS, Software","23,764","Make SaaS Users Successful, from Trial to Renewal, at Scale",Closed,2016,For Profit,2022,https://twitter.com/simpoio,4,,,https://www.linkedin.com/company/simpoio,,https://www.facebook.com/simpoio,,,hi@simpo.com,,,"San Francisco, California, United States",,"Simpo is the predictive software engagement platform for enterprises. Trusted by the world’s most successful businesses like Walmart, DuPont, Jet, and Monday, Simpo gives product managers an easy way to build engaging software experiences without requiring engineering resources. Simpo is backed by Redpoint Ventures, one of the world’s most reputable SaaS investors, with prior investments in Twilio, Stripe, and Zendesk. Other investors include JANVEST, UpWest, Seedcamp, Elad Gil, and others. For more information, visit simpo.io.",,http://www.simpo.com,,"Data and Analytics, Internet Services, Software",,Series A,31,M&A,2,2019,Series A,3,,11000000,11000000,15500000,15500000,Was Acquired,1,WalkMe,https://www.crunchbase.com/organization/walkme,,Acquisition,,2022,,Private,,,,,5500000,,6,,,,,,,,,,500000,177419.3548,354838.7097,,,,,"SaaS, Software, Internet",Technology & Software,,Oxford Nanopore Technologies,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,751,,3,,,19,4539386926,85050027,85050027,1263892451,1498031802,,8,,,,,,,444644398,,,,,,4760989339,300000000,16,16,-2,53.37313915,53.37313915,3.030234018,3.59159272,5.22803359,5.22803359,0.296819064,0.351805565,1994716.115,399467.3768,113249.0373,5315626.688,93626987.63,1.1875,,24966.71105,Yes
Ceres Power,https://www.crunchbase.com/organization/ceres-power,$10M to $50M,"Energy, Fuel, Fuel Cell, GreenTech, Oil and Gas","23,812","Ceres Power Holdings PLC is a world leading developer of low cost, next generation fuel cell technology.",Closed,2001,For Profit,2004,https://www.twitter.com/cerespower,31,,,https://www.linkedin.com/company/ceres-power,,https://www.facebook.com/cerespower,,,socialmedia@cerespower.com,,,"Horsham, West Sussex, United Kingdom",+44 1403 273463,"Ceres Power is founded on British technology and engineering innovation. The principle of innovation is at the very heart of what they do. For over 10 years they have been working as a company to develop a commercially viable fuel cell, building on 30 years of research by the founder of their technology, Professor Brian Steele. In 1981 Professor Brian Steele developed the building blocks that enabled the lithium battery, now a commodity and used by people across the world every day. It is these same building blocks that the Ceres Steel Cell is based on. From the outset Professor Steele’s vision was to create a real world energy solution. His vision has continually driven all of their innovations to make the Steel Cell a reality.",,http://www.cerespower.com/,,"Energy, Natural Resources, Sustainability",,Post-IPO Equity,176,IPO,1,2021,Post-IPO Equity,4,,252010514,252010514,298094806,307205830,,3,,,,,,,,Public,,,,2004,30000000,3,3,-17,,,,,,,,,1745487.67,170454.5455,1431877.92,84003504.67,102401943.3,1.333333333,56818.18182,"Fuel Cell, Fuel, Oil and Gas",Energy & Environmental Services,,iRhythm Technologies,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,176,,1,,,15,539787902,643600000,115000000,244672921,1176771781,,7,,,,,,,107000000,,,,,,618506971,300000000,10,10,-8,0.838700904,4.693807843,0.458702283,2.206161188,0.166252331,0.930434783,0.090926721,0.437318521,6686203.301,1704545.455,3656818.182,64360000,117677178.1,1.5,,170454.5455,Yes
Concentric,https://www.crunchbase.com/organization/concentric-2,$10M to $50M,"Artificial Intelligence (AI), Simulation, Software","23,836","Concentric enable transformation with an augmented intelligence platform that delivers trustworthy, actionable what-if answers in real-time.",Closed,2010,For Profit,,https://twitter.com/concentricmrkt,109,,,https://www.linkedin.com/company/concentric-market,,https://www.facebook.com/concentricmarket,,,info@concentricmarket.com,,,"Cambridge, Massachusetts, United States",1.16E+11,"Concentric enable transformation with an augmented intelligence platform that delivers trustworthy, actionable what-if answers in real-time. Concentric is a simulation software built to test go-to-market strategies at the speed of business. It is designed for today’s enterprise requirements, the Concentric platform allows the organization to build an in-house capability for scenario testing and forecasting. By confidently and quickly addressing more “what-if” questions,  they can drive actionable insights for better business strategies, expanding the ROI  of the analytics programs.",,https://concentricmarket.com,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,Venture - Series Unknown,31,,2,2020,Venture - Series Unknown,3,,7500000,7500000,12200000,12365000,,1,,,,,,,,Private,,,,,30000000,,,,,,,,,,,,398870.9677,967741.9355,241935.4839,,,,,"Artificial Intelligence (AI), Simulation, Software",Technology & Software,,Guardant Health,,,,,,,,,,,262,,,,,,,,,,1,,,,1,,1,,1,,3001,,2,,,11,1587000000,90700000,90700000,890700000,1890700000,,6,,,1,,,,237500000,,,,,,1738052569,750000000,6,6,-5,17.49724366,17.49724366,0.839371661,1.781744695,2.618522602,2.618522602,0.125614852,0.266644212,630023.3256,249916.6944,30223.25891,15116666.67,315116666.7,1.833333333,,41652.78241,Yes
